[ 4-012 쌍문역_점검진단.xlsx ]
2010_4-012 쌍문역3 : 80
2011_4-012 쌍문역3 : 74
2012_4-012 쌍문역2 : 94
2015_4-012 쌍문역3 : 87


[ 4-012 쌍문역_점검진단.xlsx ]
2010_4-012 쌍문역3 : 80
2011_4-012 쌍문역3 : 74
2012_4-012 쌍문역2 : 94
2015_4-012 쌍문역3 : 87


[ 4-012 쌍문역_점검진단.xlsx ]
2010_4-012 쌍문역3 : 80
2011_4-012 쌍문역3 : 74
2012_4-012 쌍문역2 : 94
2015_4-012 쌍문역3 : 87


[ 4-014 수유역_점검진단.xlsx ]
2010_4-014 수유역3 : 61
2011_4-014 수유역5 : 23
2012_4-014 수유역3 : 67
2014_4-014 수유역3 : 190


[ 4-016 미아역_점검진단.xlsx ]
2010_4-016 미아역3 : 118
2011_4-016 미아역2 : 142
2012_4-016 미아역3 : 142
2013_4-016 미아역3 : 142
2014_4-016 미아역3 : 142


[ 4-018 미아사거리역_점검진단.xlsx ]
2010_4-018 미아사거리역3 : 75
2011_4-018 미아사거리역3 : 65
2012_4-018 미아사거리역3 : 65
2013_4-018 미아사거리역3 : 65
2014_4-018 미아사거리역3 : 65


[ 4-018 미아사거리역_점검진단.xlsx ]
2010_4-018 미아사거리역3 : 75
2011_4-018 미아사거리역3 : 65
2012_4-018 미아사거리역3 : 65
2013_4-018 미아사거리역3 : 65
2014_4-018 미아사거리역3 : 65


[ 4-020 길음역_점검진단.xlsx ]
2010_4-020 길음역3 : 35
2011_4-020 길음역3 : 120
2012_4-020 길음역3 : 120
2013_4-020 길음역3 : 120
2014_4-020 길음역3 : 120


[ 4-022 성신여대입구역_점검진단.xlsx ]
2010_4-022 성신여대역3 : 108
2011_4-022 성신여대역3 : 98
2012_4-022 성신여대역3 : 98
2013_4-022 성신여대역3 : 98
2014_4-022 성신여대역3 : 97


[ 4-024 한성대입구역_점검진단.xlsx ]
2010_4-024 한성대역3 : 68
2011_4-024 한성대역3 : 142
2012_4-024 한성대역2 : 142
2013_4-024 한성대역2 : 142
2014_4-024 한성대역3 : 142


[ 4-024 한성대입구역_점검진단.xlsx ]
2010_4-024 한성대역3 : 68
2011_4-024 한성대역3 : 142
2012_4-024 한성대역2 : 142
2013_4-024 한성대역2 : 142
2014_4-024 한성대역3 : 142


[ 4-026 혜화역_점검진단.xlsx ]
2010_4-026 혜화역3 : 76
2011_4-026 혜화역3 : 69
2012_4-026 혜화역2 : 384
2013_4-026 혜화역2 : 384
2014_4-026 혜화역2 : 309


