[ 3-039 신사역_점검진단.xlsx ]
2008_3-059 대청역3 : 83
2010_3-059 대청역3 : 85
2011_3-059 대청역3 : 85
2012_3-059 대청역3 : 85
2013_3-059 대청역3 : 68


[ 3-061 일원역_점검진단.xlsx ]
2008_3-061 일원역3 : 71
2010_3-061 일원역3 : 75
2011_3-061 일원역3 : 75
2012_3-061 일원역3 : 86
2013_3-061 일원역3 : 86


[ 3-063 수서역_점검진단.xlsx ]
2010_3-063 수서역3 : 77
2011_3-063 수서역3 : 77
2012_3-063 수서역3 : 81
2013_3-063 수서역3 : 77


[ 3-066 가락시장역_점검진단.xlsx ]
2012_3-066 가락시장역3 : 84
2013_3-066 가락시장역3 : 79
2014_3-066 가락시장역3 : 79


[ 3-068 경찰병원역_점검진단.xlsx ]
2012_3-068 경찰병원역3 : 10
2013_3-068 경찰병원역3 : 10
2014_3-068 경찰병원역3 : 13


[ 3-070 오금역_점검진단.xlsx ]
2012_3-070 오금역3 : 32
2013_3-070 오금역3 : 32
2014_3-070 오금역3 : 32


