[ 3-013 홍제역_점검진단.xlsx ]
2008_3-013 홍제역2 : 81
2010_3-013 홍제역4 : 83
2011_3-013 홍제역4 : 86
2012_3-013 홍제역3 : 88
2013_3-013 홍제역3 : 210
2014_3-013 홍제역3 : 204
2014_3-013 홍제역3 : 204


[ 3-015 무악재역_점검진단.xlsx ]
2008_3-015 무악재역2 : 104
2010_3-015 무악재역3 : 90
2011_3-015 무악재역3 : 90
2012_3-015 무악재역3 : 90
2014_3-015 무악재역3 : 163


[ 3-017 독립문역_점검진단.xlsx ]
2011_3-017 독립문역3 : 183
2012_3-017 독립문역3 : 183
2014_3-017 독립문역3 : 339


[ 3-017 독립문역_점검진단.xlsx ]
2011_3-017 독립문역3 : 183
2012_3-017 독립문역3 : 183
2014_3-017 독립문역3 : 339


[ 3-019 경복궁역_점검진단.xlsx ]
2008_3-019 경복궁역2 : 174
2010_3-019 경복궁역3 : 174
2011_3-019 경복궁역4 : 174
2012_3-019 경복궁역2 : 189
2017_3-019 경복궁역3 : 178


[ 3-021 안국역_점검진단.xlsx ]
2008_3-021 안국역2 : 183
2010_3-021 안국역3 : 183
2011_3-021 안국역3 : 183
2012_3-021 안국역3 : 182
2014_3-021 안국역3 : 452


[ 3-023 종로3가역_점검진단.xlsx ]
2008_3-023 종로3가역2 : 330
2010_3-023 종로3가역3 : 330
2011_3-023 종로3가역3 : 322
2012_3-023 종로3가역3 : 311
2014_3-023 종로3가역3 : 311


[ 3-023 종로3가역_점검진단.xlsx ]
2008_3-023 종로3가역2 : 330
2010_3-023 종로3가역3 : 330
2011_3-023 종로3가역3 : 322
2012_3-023 종로3가역3 : 311
2014_3-023 종로3가역3 : 311


[ 3-025 을지로3가역_점검진단.xlsx ]
2008_3-025 을지3가(3)역2 : 215
2010_3-025 을지3가(3)역3 : 211
2011_3-025 을지3가(3)역3 : 211
2012_3-025 을지3가(3)역2 : 209
2014_3-025 을지3가(3)역4 : 209


[ 3-25 옥수역_점검진단.xlsx ]


[ 3-25 옥수역_점검진단.xlsx ]


[ 3-029 동대입구역_점검진단.xlsx ]
2008_3-029 동대입구역2 : 86
2010_3-029 동대입구역3 : 89
2011_3-029 동대입구역3 : 89
2012_3-029 동대입구역3 : 89
2013_3-029 동대입구역3 : 134


[ 3-031 약수역_점검진단.xlsx ]
2008_3-031 약수2 : 119
2010_3-031 약수3 : 119
2011_3-031 약수3 : 119
2012_3-031 약수3 : 167
2013_3-031 약수3 : 167


[ 3-033 금호역_점검진단.xlsx ]
2008_3-033 금호역2 : 60
2010_3-033 금호역3 : 60
2011_3-033 금호역3 : 55
2012_3-033 금호역3 : 106
2013_3-033 금호역2 : 57


[ 3-037 압구정역_점검진단.xlsx ]
2008_3-037 압구정역2 : 105
2010_3-037 압구정역3 : 105
2011_3-037 압구정역3 : 107
2012_3-037 압구정역3 : 137
2013_3-037 압구정역3 : 144


